                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0952,                0.90097,                 1.1032,                0.74807,                0.73043,                0.77059,                0.41743,                 1.6042,                  1.219,                 1.1873,              0.0013466,              0.0013466,              0.0013466
                     34,                 1.1368,                 1.0041,                 1.1152,                0.77323,                0.76522,                0.82231,                0.48651,                 1.3507,                 1.1144,                 1.1427,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0676,                0.94839,                 1.0981,                0.69348,                 0.8066,                0.78023,                0.48856,                 1.3797,                 1.1739,                 1.1886,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1106,                0.90848,                 1.1026,                0.69348,                 0.8066,                0.78023,                0.48856,                 1.3797,                 1.1739,                 1.1886,               0.001307,               0.001307,               0.001307
                     37,                 1.0965,                0.94052,                 1.0894,                0.73206,                0.73651,                0.73826,                0.43791,                 1.4875,                 1.3118,                 1.2454,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0676,                0.88733,                 1.0727,                0.73206,                0.73651,                0.73826,                0.43791,                 1.4875,                 1.3118,                 1.2454,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0116,                0.97462,                 1.0828,                0.72624,                0.69206,                0.67757,                 0.3751,                 1.6441,                 1.4376,                 1.3512,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0844,                0.91497,                 1.0934,                0.80081,                 0.8041,                0.79168,                0.44936,                 1.4079,                 1.1773,                 1.2233,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0038,                 0.9231,                 1.0693,                0.80081,                 0.8041,                0.79168,                0.44936,                 1.4079,                 1.1773,                 1.2233,               0.001208,               0.001208,               0.001208
                     42,                 1.0922,                0.94472,                 1.0903,                0.84485,                0.91304,                  0.909,                0.56898,                 1.2059,                 1.0057,                 1.1311,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1981,                 1.0797,                 1.1821,                0.84485,                0.91304,                  0.909,                0.56898,                 1.2059,                 1.0057,                 1.1311,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0674,                 0.9159,                 1.1104,                 0.8934,                0.94783,                0.96209,                0.60712,                 1.1494,                0.92132,                 1.0866,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0725,                0.95354,                 1.0789,                0.94681,                 0.9287,                0.97317,                0.59628,                 1.2657,                0.88339,                 1.0529,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0295,                0.89525,                 1.0685,                0.94681,                 0.9287,                0.97317,                0.59628,                 1.2657,                0.88339,                 1.0529,               0.001109,               0.001109,               0.001109
                     47,                0.98141,                0.85541,                 1.0565,                0.92836,                0.90144,                0.95271,                0.58398,                 1.3481,                0.90462,                 1.0698,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0208,                0.86738,                 1.0536,                0.92836,                0.90144,                0.95271,                0.58398,                 1.3481,                0.90462,                 1.0698,              0.0010694,              0.0010694,              0.0010694
                     49,                0.96016,                0.85079,                 1.0472,                 0.9144,                0.84348,                0.93236,                0.56743,                 1.3434,                0.91501,                 1.0878,              0.0010496,              0.0010496,              0.0010496
                     50,                0.94265,                0.83372,                  1.026,                0.91607,                0.85423,                0.94611,                0.57187,                 1.2883,                0.86875,                 1.0678,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9913,                0.80328,                 1.0441,                0.91607,                0.85423,                0.94611,                0.57187,                 1.2883,                0.86875,                 1.0678,                0.00101,                0.00101,                0.00101
                     52,                 1.0352,                0.89512,                 1.0712,                0.87683,                0.93043,                0.96489,                0.60715,                 1.2324,                0.86129,                  1.064,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0227,                0.91665,                 1.0747,                0.87683,                0.93043,                0.96489,                0.60715,                 1.2324,                0.86129,                  1.064,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.9827,                0.84917,                  1.061,                0.84628,                0.92174,                 0.9087,                0.59173,                 1.2331,                0.90603,                 1.0697,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0545,                0.89469,                 1.0814,                 0.8605,                0.90435,                0.91551,                0.58233,                 1.3476,                0.94855,                 1.1072,              0.0009308,              0.0009308,              0.0009308
                     56,                0.96549,                0.88435,                 1.0421,                 0.8605,                0.90435,                0.91551,                0.58233,                 1.3476,                0.94855,                 1.1072,               0.000911,               0.000911,               0.000911
                     57,                0.94458,                0.80702,                 1.0461,                0.82638,                0.88696,                 0.9152,                0.56294,                 1.3942,                0.96546,                 1.1143,              0.0008912,              0.0008912,              0.0008912
                     58,                0.94813,                0.85936,                 1.0429,                0.82638,                0.88696,                 0.9152,                0.56294,                 1.3942,                0.96546,                 1.1143,              0.0008714,              0.0008714,              0.0008714
                     59,                0.93587,                0.83645,                 1.0576,                0.86346,                0.87987,                0.91486,                0.59891,                 1.2528,                0.93393,                 1.0731,              0.0008516,              0.0008516,              0.0008516
                     60,                0.98726,                0.83996,                 1.0429,                0.80199,                0.90435,                0.91687,                0.63211,                 1.1805,                0.90616,                 1.0477,              0.0008318,              0.0008318,              0.0008318
                     61,                0.90641,                0.77376,                  1.023,                0.80199,                0.90435,                0.91687,                0.63211,                 1.1805,                0.90616,                 1.0477,               0.000812,               0.000812,               0.000812
                     62,                0.93733,                0.78069,                 1.0387,                0.82954,                0.88866,                0.91921,                0.62605,                 1.2001,                0.91472,                 1.0595,              0.0007922,              0.0007922,              0.0007922
                     63,                0.88946,                0.77686,                 1.0174,                0.82954,                0.88866,                0.91921,                0.62605,                 1.2001,                0.91472,                 1.0595,              0.0007724,              0.0007724,              0.0007724
                     64,                0.88675,                0.78386,                 1.0162,                0.89392,                0.84348,                0.92646,                0.58535,                 1.3506,                0.94052,                 1.0833,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89244,                0.74718,                 1.0312,                0.93611,                0.85217,                0.92959,                0.59147,                 1.3483,                 0.9384,                 1.0706,              0.0007328,              0.0007328,              0.0007328
                     66,                0.91836,                0.78009,                 1.0246,                0.93611,                0.85217,                0.92959,                0.59147,                 1.3483,                 0.9384,                 1.0706,               0.000713,               0.000713,               0.000713
                     67,                0.89555,                0.75991,                 1.0206,                0.89393,                0.87947,                0.91967,                0.60587,                 1.2537,                0.91522,                 1.0504,              0.0006932,              0.0006932,              0.0006932
                     68,                 0.8733,                0.74573,                 1.0084,                0.89393,                0.87947,                0.91967,                0.60587,                 1.2537,                0.91522,                 1.0504,              0.0006734,              0.0006734,              0.0006734
                     69,                0.88102,                 0.7473,                 1.0023,                0.88403,                0.86171,                0.91654,                0.64312,                 1.1097,                0.87361,                 1.0325,              0.0006536,              0.0006536,              0.0006536
                     70,                0.87614,                0.74757,                 1.0117,                0.88841,                0.83077,                0.90963,                 0.6308,                 1.1067,                0.88374,                 1.0517,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.8689,                0.75029,                 1.0123,                0.88841,                0.83077,                0.90963,                 0.6308,                 1.1067,                0.88374,                 1.0517,               0.000614,               0.000614,               0.000614
                     72,                0.92092,                0.77549,                 1.0325,                0.92055,                  0.806,                0.90884,                0.64247,                 1.1085,                0.88719,                 1.0597,              0.0005942,              0.0005942,              0.0005942
                     73,                0.95081,                  0.831,                 1.0615,                0.92055,                  0.806,                0.90884,                0.64247,                 1.1085,                0.88719,                 1.0597,              0.0005744,              0.0005744,              0.0005744
                     74,                0.87601,                0.73542,                 1.0218,                0.93023,                0.81156,                0.92538,                0.66506,                 1.0848,                0.89037,                  1.046,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90742,                0.76673,                 1.0189,                0.92114,                0.81254,                0.92711,                0.68451,                 1.0382,                0.87717,                 1.0272,              0.0005348,              0.0005348,              0.0005348
                     76,                0.86892,                0.75722,                 1.0345,                0.92114,                0.81254,                0.92711,                0.68451,                 1.0382,                0.87717,                 1.0272,               0.000515,               0.000515,               0.000515
                     77,                0.87934,                0.72298,                 1.0121,                 0.8458,                0.85852,                0.92468,                0.69275,                0.99784,                0.85447,                 1.0114,              0.0004952,              0.0004952,              0.0004952
                     78,                0.82442,                0.70974,                0.99665,                 0.8458,                0.85852,                0.92468,                0.69275,                0.99784,                0.85447,                 1.0114,              0.0004754,              0.0004754,              0.0004754
                     79,                    0.9,                 0.7629,                 1.0235,                0.89241,                0.82609,                0.93293,                0.68157,                 1.0053,                0.84547,                0.99566,              0.0004556,              0.0004556,              0.0004556
                     80,                0.84602,                0.73397,                  1.007,                0.91497,                0.84219,                0.94372,                   0.68,                 1.0215,                0.83004,                0.98542,              0.0004358,              0.0004358,              0.0004358
                     81,                0.86815,                0.69774,                0.98983,                0.91497,                0.84219,                0.94372,                   0.68,                 1.0215,                0.83004,                0.98542,               0.000416,               0.000416,               0.000416
                     82,                0.91049,                0.73438,                 1.0087,                0.88014,                0.89399,                0.95568,                0.69637,                 1.0234,                0.82195,                 0.9859,              0.0003962,              0.0003962,              0.0003962
                     83,                0.84375,                0.72296,                0.99688,                0.88014,                0.89399,                0.95568,                0.69637,                 1.0234,                0.82195,                 0.9859,              0.0003764,              0.0003764,              0.0003764
                     84,                0.85194,                0.73498,                0.99104,                 0.8645,                0.88765,                0.96093,                0.71275,                0.97608,                0.80014,                0.97926,              0.0003566,              0.0003566,              0.0003566
                     85,                0.82311,                0.69876,                0.99336,                0.90542,                0.91568,                0.97095,                0.73373,                0.92153,                0.78232,                0.96851,              0.0003368,              0.0003368,              0.0003368
