2023-08-14 14:06:09,811 DEBUG   SenderThread:1736 [sender.py:send():379] send: telemetry
2023-08-14 14:06:10,120 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_created():271] file/dir created: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/wandb-summary.json
2023-08-14 14:06:10,120 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_created():271] file/dir created: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/wandb-metadata.json
2023-08-14 14:06:10,121 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_created():271] file/dir created: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/output.log
2023-08-14 14:06:10,121 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_created():271] file/dir created: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/requirements.txt
2023-08-14 14:06:10,260 INFO    wandb-upload_0:1736 [upload_job.py:push():131] Uploaded file /tmp/tmp5ie_fkk4wandb/thyjcc94-wandb-metadata.json
2023-08-14 14:06:12,118 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/output.log
2023-08-14 14:06:13,135 DEBUG   SenderThread:1736 [sender.py:send():379] send: telemetry
2023-08-14 14:06:13,136 DEBUG   SenderThread:1736 [sender.py:send():379] send: telemetry
2023-08-14 14:06:13,137 DEBUG   SenderThread:1736 [sender.py:send():379] send: config
2023-08-14 14:06:14,119 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/output.log
2023-08-14 14:06:14,142 DEBUG   HandlerThread:1736 [handler.py:handle_request():144] handle_request: status_report
2023-08-14 14:06:19,143 DEBUG   HandlerThread:1736 [handler.py:handle_request():144] handle_request: status_report
2023-08-14 14:06:22,123 INFO    Thread-12 :1736 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/book_detection_app/src/wandb/run-20230814_140608-ol968ktx/files/output.log
2023-08-14 14:06:24,406 DEBUG   HandlerThread:1736 [handler.py:handle_request():144] handle_request: stop_status
2023-08-14 14:06:24,407 DEBUG   SenderThread:1736 [sender.py:send_request():406] send_request: stop_status
2023-08-14 14:06:24,675 DEBUG   HandlerThread:1736 [handler.py:handle_request():144] handle_request: status_report
